date,close,volume,open,high,low
2018-06-08,191.7,26580710,191.17,192,189.77
2018-06-07,193.46,21329170,194.14,194.2,192.335
2018-06-06,193.98,20912820,193.63,194.08,191.92
2018-06-05,193.31,21535570,193.065,193.94,192.36
2018-06-04,191.83,26190620,191.635,193.42,191.35
2018-06-01,190.24,23377690,187.991,190.26,187.75
2018-05-31,186.87,27468700,187.22,188.23,186.14
2018-05-30,187.5,18503410,187.72,188,186.78
2018-05-29,187.9,22409110,187.6,188.75,186.87
2018-05-25,188.58,17186760,188.23,189.65,187.65
2018-05-24,188.15,23129400,188.77,188.84,186.21
2018-05-23,188.36,19966590,186.35,188.5,185.76
2018-05-22,187.16,15228270,188.375,188.88,186.78
2018-05-21,187.63,18383080,188,189.27,186.9106
2018-05-18,186.31,18083080,187.19,187.8102,186.13
2018-05-17,186.99,17014490,188,188.91,186.36
2018-05-16,188.18,19046600,186.07,188.46,186
2018-05-15,186.44,23639070,186.78,187.07,185.1
2018-05-14,188.15,20393070,189.01,189.53,187.86
2018-05-11,188.59,26167950,189.49,190.06,187.45
2018-05-10,190.04,27942430,187.74,190.37,187.65
2018-05-09,187.36,23141260,186.55,187.4,185.22
2018-05-08,186.05,28053230,184.99,186.22,183.665
2018-05-07,185.16,42557530,185.18,187.67,184.75
2018-05-04,183.83,56137230,178.25,184.25,178.17
2018-05-03,176.89,33944110,175.88,177.5,174.4411
2018-05-02,176.57,66454720,175.225,177.75,173.8
2018-05-01,169.1,52228910,166.41,169.2,165.27
2018-04-30,165.26,41976500,162.13,167.26,161.84
2018-04-27,162.32,35617230,164,164.33,160.63
2018-04-26,164.22,27850370,164.12,165.73,163.37
2018-04-25,163.65,28331540,162.62,165.42,162.41
2018-04-24,162.94,33674960,165.67,166.33,161.2201
2018-04-23,165.24,36396590,166.835,166.92,164.09
2018-04-20,165.72,65270950,170.595,171.2184,165.43
2018-04-19,172.8,34693280,174.95,175.39,172.66
2018-04-18,177.84,20544600,177.81,178.82,176.88
2018-04-17,178.24,26575010,176.49,178.9365,176.41
2018-04-16,175.82,21561320,175.0301,176.19,174.8301
2018-04-13,174.73,25100510,174.78,175.84,173.85
2018-04-12,174.14,22858840,173.41,175,173.04
2018-04-11,172.44,22401040,172.23,173.9232,171.7
2018-04-10,173.25,28567110,173,174,171.53
2018-04-09,170.05,28976200,169.88,173.09,169.845
2018-04-06,168.38,34949690,170.97,172.48,168.2
2018-04-05,172.8,26750260,172.58,174.2304,172.08
2018-04-04,171.61,34581850,164.88,172.01,164.77
2018-04-03,168.39,30237640,167.64,168.7455,164.88
2018-04-02,166.68,37425640,167.88,168.94,164.47
2018-03-29,167.78,38116290,167.805,171.75,166.9
2018-03-28,166.48,41464880,167.25,170.02,165.19
2018-03-27,168.34,39824200,173.68,175.15,166.92
2018-03-26,172.77,36778560,168.07,173.1,166.44
2018-03-23,164.94,40984540,168.39,169.92,164.94
2018-03-22,168.85,41335980,170,172.68,168.6
2018-03-21,171.27,36387880,175.04,175.09,171.26
2018-03-20,175.24,19620520,175.24,176.8,174.94
2018-03-19,175.3,32931110,177.32,177.47,173.66
2018-03-16,178.02,38313330,178.65,179.12,177.62
2018-03-15,178.65,22676520,178.5,180.24,178.0701
2018-03-14,178.44,29334630,180.32,180.52,177.81
2018-03-13,179.97,31464170,182.59,183.5,179.24
2018-03-12,181.72,32191070,180.29,182.39,180.21
2018-03-09,179.98,32130360,177.96,180,177.39
2018-03-08,176.94,24518850,175.48,177.12,175.07
